mid,sum
1,"Toy Story is about loyal cowboy toy Woody and new space ranger toy Buzz Lightyear who go on an adventurous quest to return to their owner, Andy."
3,Four Rooms is about a movie.
6,"Shanghai Triad is about a young boy who becomes entangled in the violent world of a powerful triad boss in Shanghai, exploring themes of power, relationships, and consequences."
7,"Twelve Monkeys is about a convict sent back in time to gather information about a deadly virus, encountering a mysterious group and forming a connection with a psychiatrist."
8,Babe is about a heartwarming family film.
9,Dead Man Walking is a thought-provoking drama.
11,Seven is a crime thriller film.
12,The Usual Suspects is about criminals entangled in a web of deception while unraveling the enigmatic Keyser Söze.
13,Mighty Aphrodite is about a sportswriter who becomes obsessed with finding the true identity of the young prostitute who is the birth mother of the child he and his wife adopted.
14,"Il Postino is about a postman in 1950s Italy who befriends poet Pablo Neruda, leading to a transformative journey of love and political awakening."
15,Mr. Holland's Opus is about a music teacher who inspires his students through his love for music.
16,"French Twist (Gazon maudit) is about a married woman who develops feelings for a female handywoman, exploring themes of identity, love, and relationships."
18,"The White Balloon is about a young girl's adventure to buy a goldfish, revealing the realities of contemporary Iran."
19,"Antonia's Line is about a determined woman who rebuilds her life in a Dutch village, exploring love, family, empowerment, and the circle of life."
21,Muppet Treasure Island is about Jim Hawkins and his Muppet friends seeking a legendary treasure while encountering pirates and comedic adventures.
22,Braveheart is about a historical war.
23,Taxi Driver is about a disturbed taxi driver who takes action against a corrupt society.
25,"The Birdcage is about a gay couple hiding their identity to impress their son's future in-laws, highlighting themes of acceptance and self-authenticity."
27,"""Bad Boys"" is about two Miami detectives investigating a murder and searching for stolen drugs, leading them into the criminal underworld with humorous and thrilling encounters."
28,"Apollo 13 is about a NASA mission that faces a crisis when an oxygen tank explodes, endangering the lives of the astronauts onboard as they struggle to find a way back to Earth."
29,"Batman Forever is about Batman's fight against Two-Face and the Riddler in Gotham City, delving into his internal struggles."
32,Crumb is about the life and art of influential cartoonist Robert Crumb and his family.
34,"The Doom Generation is about three young adults caught in a dark and violent world, facing bizarre and disturbing events."
35,"Free Willy 2: The Adventure Home is about Jesse's quest to save his orca whale friend and his new family, highlighting the significance of love, loyalty, and the ocean."
36,Mad Love is about a passionate young couple who face challenges and consequences in their intense relationship.
37,"""Nadja"" follows the journey of the main character as she explores love, loss, and identity in a blend of horror, romance, and drama."
39,Strange Days is a gripping 1995 sci-fi thriller.
41,Billy Madison is a comedy film.
42,"Clerks is about the comical everyday experiences of two store clerks, Dante and Randal, as they interact with quirky customers and navigate the challenges of adulthood."
43,Disclosure is about a high-ranking executive facing a sexual harassment claim and navigating the politics of the corporate world.
44,"Dolores Claiborne is about a woman accused of murdering her employer, delving into her troubled relationship with her daughter and unveiling deep secrets."
45,"Eat Drink Man Woman is about a chef and his daughters coping with love, family, and tradition in Taiwan."
46,Exotica is about intertwined lives connected to a Toronto strip club.
47,"Ed Wood is about the determined filmmaker who overcomes obstacles to bring his unconventional vision to the screen, forming friendships and facing personal challenges along the way."
48,"""Hoop Dreams"" is about two inner-city basketball players aiming to overcome challenges and achieve success in the NBA, showcasing the impact of race and social class."
50,Star Wars is about a young farm boy caught in a galactic conflict between good and evil.
51,Legends of the Fall is a drama film.
52,"""Madness of King George, The"" is about King George III's descent into madness and the efforts of Queen Charlotte to protect the monarchy."
55,The Professional is a 1994 film.
56,"Pulp Fiction is about interconnected criminals, hitmen, and a boxer, presented with nonlinear storytelling, dark humor, and memorable characters."
57,"""Priest"" is a drama film released in 1994."
58,"""Quiz Show"" is about the true story of a rigged quiz show in the 1950s, highlighting the deception and corruption behind the scenes, and exploring the ethical dilemmas faced by the participants and creators."
59,"Three Colors: Red is about a woman who accidentally hits a dog and develops a connection with a retired judge, exploring human relationships and moral choices."
60,Three Colors: Blue is a drama film.
63,"Santa Clause, The is a Christmas comedy film."
64,Shawshank Redemption is about a man named Andy who befriends another inmate in prison and finds hope and redemption despite being wrongly convicted.
65,What's Eating Gilbert Grape is a drama film.
66,"""While You Were Sleeping"" is about Lucy, a transit worker who saves a man's life and falls in love with him, but faces complications when she is mistaken for his fiancee by his family."
68,The Crow is about a man seeking revenge after returning from the dead.
72,The Mask is about a fantasy comedy adventure.
74,"Faster Pussycat! Kill! Kill! is about three bold women on a violent journey, seeking power and freedom."
75,"""Brother Minister: The Assassination of Malcolm X"" explores the life, impact, and tragic death of civil rights leader Malcolm X through interviews, archival footage, and reenactments."
76,Carlito's Way is about a crime drama.
77,"The Firm is about a young attorney who discovers corruption and deceit within a prestigious law firm, leading him into a dangerous web of intrigue."
78,Free Willy is about a boy who forms a bond with a captive Orca and tries to free him.
79,The Fugitive is about a doctor who must prove his innocence and find the true culprit after being wrongly accused of his wife's murder.
80,Hot Shots! Part Deux is about a former Navy SEAL who rescues hostages in Iraq in a humorous and parodic manner.
81,The Hudsucker Proxy is about a naive graduate who becomes the president of a corporation and gets involved in corporate intrigue with the help of a cynical reporter.
82,"Jurassic Park is about a theme park with genetically engineered dinosaurs, where a battle for survival ensues when the security systems fail."
84,The Puppet Masters is a sci-fi film.
86,The Remains of the Day is a drama film.
87,Searching for Bobby Fischer is a movie.
88,Sleepless in Seattle is about a widower and a woman who are brought together by fate and embark on a heartfelt long-distance romance.
89,Blade Runner is a science fiction film exploring futuristic themes.
90,"""So I Married an Axe Murderer"" is a comedy film."
91,"Nightmare Before Christmas is about the Pumpkin King of Halloween Town, Jack Skellington, who discovers Christmas Town and decides to bring Christmas joy to his own domain."
93,Welcome to the Dollhouse is about an awkward girl named Dawn who faces bullying and struggles to fit in during seventh-grade.
94,Home Alone is a comedy about a young boy left alone at home.
95,Aladdin is about a street urchin named Aladdin who uses three wishes to win Princess Jasmine's heart and defeat the evil sorcerer.
96,Terminator 2: Judgment Day is about a cyborg assassin protecting a young boy from a more advanced Terminator to prevent the future rise of machines.
98,Silence of the Lambs is about an FBI trainee seeking the help of a cannibalistic serial killer to catch another killer.
100,Fargo is a crime film.
101,"""Heavy Metal"" is about a collection of animated stories that blend sci-fi and fantasy, featuring a heavy metal soundtrack, captivating fans with adventure and futuristic themes."
102,The Aristocats is about a family of cats who are kidnapped and rescued with the help of an alley cat in Paris.
103,"""All Dogs Go to Heaven 2"" is a sequel film released in 1996."
104,Theodore Rex is a movie.
105,Sgt. Bilko is a comedy film.
106,Diabolique is a psychological thriller.
107,Moll Flanders is a drama film.
108,"""Kids in the Hall: Brain Candy"" is about a pharmaceutical company's new antidepressant, its effects on society, and the humor and consequences that ensue."
109,Mystery Science Theater 3000: The Movie is about a human and his robot companions who humorously watch and comment on a bad B-movie in space.
110,Operation Dumbo Drop is about Special Forces soldiers transporting an elephant through the jungle.
111,The Truth About Cats & Dogs is a romantic comedy film.
112,Flipper is about a 1996 movie.
113,The Horseman on the Roof is about a man's perilous journey through 19th-century France during a cholera epidemic.
114,Wallace & Gromit: The Best of Aardman Animation is a compilation showcasing the finest stop-motion animation from the acclaimed studio.
115,"The Haunted World of Edward D. Wood Jr. is a documentary about the life and works of filmmaker Edward D. Wood Jr., known for his unique style and eccentricities."
119,Maya Lin is a documentary film about the life and work of the artist and architect.
120,Striptease is about a single mother who becomes a stripper to win custody of her daughter.
121,"Independence Day is about humanity's fight against an alien invasion in a post-apocalyptic world, where a group of individuals unite to save the planet."
123,Frighteners is a supernatural comedy film.
124,Lone Star is about a sheriff uncovering secrets and confronting his past in a Texas border town.
126,The Spitfire Grill is about a young woman's journey of redemption and friendship in a small Maine town.
127,The Godfather is about the Corleone family's involvement in organized crime and the complexities of family loyalty.
128,Supercop is about a fearless police officer taking down a powerful drug cartel to bring justice.
129,"""Bound"" is a crime thriller."
131,"Breakfast at Tiffany's is about a young woman in New York City who forms a bond with a struggling writer, as they explore love, friendship, and self-discovery."
132,"The Wizard of Oz is about Dorothy's journey in the magical land of Oz, where she seeks the help of the Great Wizard to return home, facing challenges and learning valuable lessons along the way."
133,Gone with the Wind is about a Southern belle dealing with love and survival amid the American Civil War.
134,Citizen Kane is a film directed by Orson Welles.
135,2001: A Space Odyssey is about a science fiction journey in 1968.
137,Big Night is about two Italian brothers striving to revive their failing restaurant by preparing an extravagant meal to captivate patrons and garner recognition from a renowned jazz artist.
138,D3: The Mighty Ducks is about a sports comedy.
140,"""Homeward Bound: The Incredible Journey"" is about three pets who embark on a courageous journey to find their owners, highlighting the enduring bond of friendship and the power of love."
142,Bedknobs and Broomsticks is a magical adventure.
143,The Sound of Music is about a governess who brings joy and music to a strict household in Austria during World War II.
144,Die Hard is about an action-packed adventure.
145,"""Lawnmower Man"" is about a mentally disabled man who becomes hyper-intelligent after a virtual reality experiment, leading to a dangerous clash with his scientist mentor."
146,Unhook the Stars is a drama film.
148,Ghost and the Darkness is about two men hunting down man-eating lions threatening a railroad construction project in Africa.
149,"""Jude"" is about a young man in 19th century England who faces challenges in pursuing his dreams, while exploring themes of love and societal defiance."
150,"Swingers is about struggling actors in LA who navigate dating, nightlife, and friendship in their pursuit of love and success."
151,Willy Wonka and the Chocolate Factory is a whimsical movie about adventure in a chocolate factory.
152,Sleeper is a comedic science fiction movie from 1973.
154,"Monty Python's Life of Brian is about a young man mistaken as the Messiah, leading to satirical events exploring religion and fanaticism."
156,"Reservoir Dogs is about a diamond heist gone wrong, leading a group of criminals to question their loyalty and hunt for a potential informant."
157,Platoon is about a young soldier's brutal experiences and psychological impact during the Vietnam War.
161,Top Gun is about a fighter pilot named Maverick who faces the challenges and excitement of naval aviation training.
162,On Golden Pond is about an aging couple's healing summer at a lake house.
163,"""Return of the Pink Panther"" is about Inspector Clouseau's hilarious quest to recover the stolen Pink Panther diamond."
165,Jean de Florette is about the life of a man named Jean de Florette.
166,Manon of the Spring is about a young woman's pursuit of justice and revenge against her family's oppressors.
167,"Private Benjamin is about a woman who joins the Army after her husband's sudden death, and experiences personal growth in the military."
168,"Monty Python and the Holy Grail is about King Arthur and his knights on a quest for the Holy Grail, using clever writing and absurdist humor to create a cult comedy classic."
169,The Wrong Trousers is a British animated comedy released in 1993.
170,"Cinema Paradiso is about a young Italian boy who forms a special bond with a cinema projectionist, leading him to explore the power of movies and their impact on his life and relationships."
172,The Empire Strikes Back is a sequel to a popular movie.
173,"Princess Bride is about a woman's journey to save her love from an evil prince, featuring sword fights, romance, and humor."
174,Raiders of the Lost Ark is about Indiana Jones' thrilling quest to find the Ark of the Covenant before Nazis can obtain it.
175,"""Brazil"" is about an ordinary man's struggles in a retro-futuristic dystopian society, exploring themes of identity, freedom, and imagination."
176,Aliens is about a sci-fi horror adventure.
177,"The Good, The Bad and The Ugly is a classic Western film."
178,"12 Angry Men is about intense jury deliberations in a murder trial, highlighting justice, prejudice, and human behavior."
181,Return of the Jedi is an iconic science fiction film.
182,GoodFellas is about a crime.
183,Alien is about a science fiction horror.
184,Army of Darkness is about a man fighting undead to return home.
185,"Psycho is about a woman who steals money and encounters a disturbed motel owner, leading to a chilling exploration of obsession and sanity."
186,"The Blues Brothers is about two brothers who form a band to save their orphanage, but later embark on a mission from God to reunite their old band for a benefit concert."
187,Godfather: Part II is about Michael Corleone's struggle to maintain his family's crime empire while exploring his father's rise to power in 1920s New York.
190,"""Henry V"" is about King Henry V leading the English troops in battle against France during the Hundred Years' War, exploring themes of leadership, military strategy, and the consequences of war, with impressive cinematography and powerful performances."
191,"Amadeus is about the intense rivalry between influential composer Antonio Salieri and the prodigious talent of Wolfgang Amadeus Mozart, leading to manipulation and desperate measures in 18th century Vienna."
192,Raging Bull is a gripping biographical drama by Martin Scorsese.
193,The Right Stuff is about the early days of the US space program and the lives of the seven astronauts chosen for Project Mercury.
194,The Sting is a 1973 movie.
195,The Terminator is a sci-fi film about a cyborg assassin sent back in time to kill a woman whose unborn son will lead the human resistance against machines in the future.
196,Dead Poets Society is a film about a group of students discovering the power of poetry.
197,The Graduate is about a college graduate's affair with an older woman and his quest to find his place in society.
198,"Nikita is about a convicted murderer trained as an assassin by a secret government agency, where she confronts challenges of loyalty and identity."
199,The Bridge on the River Kwai is about a bridge construction project during World War II.
203,Unforgiven is about redemption and revenge in a 1992 movie.
204,Back to the Future is about a high school student who time travels to the past and must ensure his parents fall in love to preserve his own existence.
206,Akira is about a biker in post-apocalyptic Tokyo who gets caught in a government conspiracy involving a telekinetic child.
207,Cyrano de Bergerac is a classic movie adaptation.
208,Young Frankenstein is about a descendant of Dr. Victor Frankenstein who reluctantly follows in his footsteps to recreate the infamous experiments in a comedic parody of classic horror movies.
209,This Is Spinal Tap is a mockumentary comedy released in 1984.
210,Indiana Jones and the Last Crusade is about archaeologist Indiana Jones in a race against the Nazis to find the Holy Grail.
212,"The Unbearable Lightness of Being is about the intricate love triangle of a surgeon and his wife and lover, set in 1968 Prague amidst political upheaval."
213,A Room with a View is a British romance drama.
214,"Pink Floyd - The Wall is about a rock star named Pink who becomes isolated and mad, exploring themes of alienation, grief and societal oppression through surreal visions."
216,When Harry Met Sally... is about the evolving friendship between Harry and Sally and their exploration of love and relationships.
219,"Nightmare on Elm Street is about teenagers being haunted by a supernatural killer in their dreams, leading to deadly consequences in reality."
221,Breaking the Waves is a drama film.
222,Star Trek: First Contact is about the crew of the starship Enterprise preventing the Borg from assimilating Earth by traveling back in time.
223,Sling Blade is about a mentally challenged man's release from a hospital and his struggle to adjust to society.
224,"Ridicule is about a young nobleman seeking support from the French court to drain swamps, showcasing the sharp world of courtly politics and societal norms in 18th century France."
225,"""101 Dalmatians"" is about a brave Dalmatian couple's mission to save their stolen puppies from an eccentric villain in London."
227,Star Trek VI: The Undiscovered Country is about a science fiction adventure.
228,Star Trek: The Wrath of Khan is about an epic science fiction adventure.
229,Star Trek III: The Search for Spock is about a sci-fi search mission in 1984.
230,Star Trek IV: The Voyage Home is about a science fiction journey.
231,"Batman Returns is about Batman's battle against the villainous Penguin in Gotham City, where he faces inner demons and makes tough decisions to protect justice."
233,"""Under Siege"" is an action thriller film."
234,Jaws is about a team hunting down a great white shark terrorizing a beach town.
235,Mars Attacks! is about a comical alien invasion that showcases chaos and absurdity when quirky beings from Mars attempt to conquer Earth.
236,Citizen Ruth is a dark comedy film.
237,"Jerry Maguire is about a sports agent who, after a moral crisis, starts his own agency to restore integrity to his work, facing challenges and finding true success and love."
238,"Raising Arizona is about a couple who kidnaps a wealthy family's baby, resulting in chaos."
239,Sneakers is a mystery film set in 1992.
241,The Last of the Mohicans is about Hawkeye and the Mohican brothers protecting a British officer's daughters during the French and Indian War.
242,Kolya is about a musician who cares for a young Russian boy.
243,Jungle2Jungle is a comedy film.
244,Smilla's Sense of Snow (1997) is a mystery thriller film.
245,"Devil's Own is about an IRA member who befriends a New York cop, but faces a moral dilemma between loyalty and friendship."
246,"Chasing Amy is about a comic book artist who falls in love with a lesbian artist, testing their relationship and exploring themes of love and sexuality."
247,"Turbo: A Power Rangers Movie is about the iconic Rangers' quest to save Earth from a space pirate, showcasing thrilling battles and impressive effects."
248,Grosse Pointe Blank is about a hitman facing unexpected dilemmas at a high school reunion.
249,"Austin Powers: International Man of Mystery is about a 1960s British secret agent, cryogenically frozen and reanimated in the 1990s, who battles his nemesis Dr. Evil in a comedic and action-packed spy adventure."
250,The Fifth Element is about a soldier and a woman teaming up to save humanity from an ancient evil.
251,Shall We Dance? is about a middle-aged accountant who finds fulfillment and connection through ballroom dance.
252,Lost World: Jurassic Park is about a thrilling science fiction adventure.
253,"Pillow Book, The is a drama film."
254,Batman & Robin is about a superhero.
255,My Best Friend's Wedding is about a romantic comedy.
256,When the Cats Away is about the search for a lost cat in 1996 Paris.
257,"Men in Black is about two secret agents working for a covert organization to regulate extraterrestrial activity, uncovering a deadly plot that threatens the planet."
258,Contact is about a science fiction drama.
259,"""George of the Jungle"" is about a man raised in the jungle who navigates the modern world with hilarious mishaps and heartwarming moments."
260,"""Event Horizon"" is about a rescue crew investigating a mysterious spacecraft, encountering horrifying events that reveal their deepest fears and secrets."
261,Air Bud is about a dog with impressive athletic abilities.
263,"Steel is about a weapons designer turned superhero, Steel, who fights against the spread of dangerous weapons."
264,Mimic is a science fiction horror film.
266,Kull the Conqueror is about a conqueror named Kull.
267,"""Unknown"" is about a mysterious thriller in 2011."
268,"""Chasing Amy"" is about a romantic pursuit filled with comedy and drama."
269,"The Full Monty is about unemployed steelworkers in Sheffield, England, who become strippers to make money."
270,Gattaca is about a science fiction world.
271,Starship Troopers is about a sci-fi war.
10,"""Richard III"" is about a power-hungry nobleman's manipulations for the throne, exploring themes of political intrigue and ambition."
272,"""Good Will Hunting"" is about a talented young janitor who must decide between his potential and his current life, leading him on a journey of self-discovery and understanding."
273,Heat is a crime thriller film.
275,"Sense and Sensibility is about two sisters navigating love and marriage in 19th-century England, highlighting the contrast between their personalities and societal expectations."
276,Leaving Las Vegas is a drama film.
277,Restoration is a 1995 movie.
279,Once Upon a Time... When We Were Colored is a movie about a nostalgic time in the past.
282,A Time to Kill is a legal drama film.
283,"Emma is about a young woman in 19th-century England who enjoys meddling in the love lives of others, learning important lessons along the way."
284,"""Tin Cup"" is about a comedic sports competition."
285,"Secrets & Lies is about a woman uncovering the truth about her birth mother, leading to personal revelations within her family."
286,"English Patient is a movie about an unidentified, injured patient."
293,Donnie Brasco is about a crime drama.
294,"""Liar Liar"" is about a comedy film."
295,Breakdown is a suspenseful 1997 thriller.
299,"""Hoodlum"" is a crime drama set in 1930s Harlem."
300,Air Force One is about the President's fight to save his family and outsmart terrorists who hijack his plane.
301,"""In & Out"" is a comedy film released in 1997."
302,L.A. Confidential is about three police officers investigating corruption and conspiracy in 1950s Los Angeles.
303,Ulee's Gold is about a widowed beekeeper in Florida who cares for his granddaughter and becomes entangled in a dangerous criminal situation.
304,"""Fly Away Home"" is about a girl who raises and teaches a group of orphaned geese to fly for their migration."
306,Mrs. Brown is about a historical drama.
309,"Deceiver is about a murder suspect named James, exploring identity, deception, and the human psyche in a dark and suspenseful thriller."
310,The Rainmaker is about a young lawyer fighting a big insurance company over a denied insurance claim.
